index,negativeword,rattcounter,kibucounter
728,cramped,0,0
729,cramping,0,0
730,cranky,0,0
731,crap,0,0
732,crappy,0,0
733,craps,0,0
734,crash,0,0
735,crashed,0,0
736,crashes,0,0
737,crashing,0,0
738,crass,0,0
739,craven,0,0
740,cravenly,0,0
741,craze,0,0
742,crazily,0,0
743,craziness,0,0
744,crazy,0,0
745,creak,0,0
746,creaking,0,0
747,creaks,0,0
748,credulous,0,0
749,creep,0,0
750,creeping,0,0
751,creeps,0,0
752,creepy,0,0
753,crept,0,0
754,crime,0,0
755,criminal,0,0
756,cringe,0,0
757,cringed,0,0
758,cringes,0,0
759,cripple,0,0
760,crippled,0,0
761,cripples,0,0
762,crippling,0,0
763,crisis,0,0
764,critic,0,0
765,critical,0,0
766,criticism,0,0
767,criticisms,0,0
768,criticize,0,0
769,criticized,0,0
770,criticizing,0,0
771,critics,0,0
772,cronyism,0,0
773,crook,0,0
774,crooked,0,0
775,crooks,0,0
776,crowded,0,0
777,crowdedness,0,0
778,crude,0,0
779,cruel,0,0
780,crueler,0,0
781,cruelest,0,0
782,cruelly,0,0
783,cruelness,0,0
784,cruelties,0,0
785,cruelty,0,0
786,crumble,0,0
787,crumbling,0,0
788,crummy,0,0
789,crumple,0,0
790,crumpled,0,0
791,crumples,0,0
792,crush,0,0
793,crushed,0,0
794,crushing,0,0
795,cry,0,0
796,culpable,0,0
797,culprit,0,0
798,cumbersome,0,0
799,cunt,0,0
800,cunts,0,0
801,cuplrit,0,0
802,curse,0,0
803,cursed,0,0
804,curses,0,0
805,curt,0,0
806,cuss,0,0
807,cussed,0,0
808,cutthroat,0,0
809,cynical,0,0
810,cynicism,0,0
811,d*mn,0,0
812,damage,0,0
813,damaged,0,0
814,damages,0,0
815,damaging,0,0
816,damn,0,0
817,damnable,0,0
818,damnably,0,0
819,damnation,0,0
820,damned,0,0
821,damning,0,0
822,damper,0,0
823,danger,0,0
824,dangerous,0,0
825,dangerousness,0,0
826,dark,0,0
827,darken,0,0
828,darkened,0,0
829,darker,0,0
830,darkness,0,0
831,dastard,0,0
832,dastardly,0,0
833,daunt,0,0
834,daunting,0,0
835,dauntingly,0,0
836,dawdle,0,0
837,daze,0,0
838,dazed,0,0
839,dead,0,0
840,deadbeat,0,0
841,deadlock,0,0
842,deadly,0,0
843,deadweight,0,0
844,deaf,0,0
845,dearth,0,0
846,death,0,0
847,debacle,0,0
848,debase,0,0
849,debasement,0,0
850,debaser,0,0
851,debatable,0,0
852,debauch,0,0
853,debaucher,0,0
854,debauchery,0,0
855,debilitate,0,0
856,debilitating,0,0
857,debility,0,0
858,debt,0,0
859,debts,0,0
860,decadence,0,0
861,decadent,0,0
862,decay,0,0
863,decayed,0,0
864,deceit,0,0
865,deceitful,0,0
866,deceitfully,0,0
867,deceitfulness,0,0
868,deceive,0,0
869,deceiver,0,0
870,deceivers,0,0
871,deceiving,0,0
872,deception,0,0
873,deceptive,0,0
874,deceptively,0,0
875,declaim,0,0
876,decline,0,0
877,declines,0,0
878,declining,0,0
879,decrement,0,0
880,decrepit,0,0
881,decrepitude,0,0
882,decry,0,0
883,defamation,0,0
884,defamations,0,0
885,defamatory,0,0
886,defame,0,0
887,defect,0,0
888,defective,0,0
889,defects,0,0
890,defensive,0,0
891,defiance,0,0
892,defiant,0,0
893,defiantly,0,0
894,deficiencies,0,0
895,deficiency,0,0
896,deficient,0,0
897,defile,0,0
898,defiler,0,0
899,deform,0,0
900,deformed,0,0
901,defrauding,0,0
902,defunct,0,0
903,defy,0,0
904,degenerate,0,0
905,degenerately,0,0
906,degeneration,0,0
907,degradation,0,0
908,degrade,0,0
909,degrading,0,0
910,degradingly,0,0
911,dehumanization,0,0
912,dehumanize,0,0
913,deign,0,0
914,deject,0,0
915,dejected,0,0
916,dejectedly,0,0
917,dejection,0,0
918,delay,0,0
919,delayed,0,0
920,delaying,0,0
921,delays,0,0
922,delinquency,0,0
923,delinquent,0,0
924,delirious,0,0
925,delirium,0,0
926,delude,0,0
927,deluded,0,0
928,deluge,0,0
929,delusion,0,0
930,delusional,0,0
931,delusions,0,0
932,demean,0,0
933,demeaning,0,0
934,demise,0,0
935,demolish,0,0
936,demolisher,0,0
937,demon,0,0
938,demonic,0,0
939,demonize,0,0
940,demonized,0,0
941,demonizes,0,0
942,demonizing,0,0
943,demoralize,0,0
944,demoralizing,0,0
945,demoralizingly,0,0
946,denial,0,0
947,denied,0,0
948,denies,0,0
949,denigrate,0,0
950,denounce,0,0
951,dense,0,0
952,dent,0,0
953,dented,0,0
954,dents,0,0
955,denunciate,0,0
956,denunciation,0,0
957,denunciations,0,0
958,deny,0,0
959,denying,0,0
960,deplete,0,0
961,deplorable,0,0
962,deplorably,0,0
963,deplore,0,0
964,deploring,0,0
965,deploringly,0,0
966,deprave,0,0
967,depraved,0,0
968,depravedly,0,0
969,deprecate,0,0
970,depress,0,0
971,depressed,0,0
972,depressing,0,0
973,depressingly,0,0
974,depression,0,0
975,depressions,0,0
976,deprive,0,0
977,deprived,0,0
978,deride,0,0
979,derision,0,0
980,derisive,0,0
981,derisively,0,0
982,derisiveness,0,0
983,derogatory,0,0
984,desecrate,0,0
985,desert,0,0
986,desertion,0,0
987,desiccate,0,0
988,desiccated,0,0
989,desititute,0,0
990,desolate,0,0
991,desolately,0,0
992,desolation,0,0
993,despair,0,0
994,despairing,0,0
995,despairingly,0,0
996,desperate,0,0
997,desperately,0,0
998,desperation,0,0
999,despicable,0,0
1000,despicably,0,0
1001,despise,0,0
1002,despised,0,0
1003,despoil,0,0
1004,despoiler,0,0
1005,despondence,0,0
1006,despondency,0,0
1007,despondent,0,0
1008,despondently,0,0
